"Via"
"VIA NAO DECLARADA"
"MARITIMA"
"FLUVIAL"
"LACUSTRE"
"AEREA"
"POSTAL"
"FERROVIARIA"
"RODOVIARIA"
"CONDUTO/REDE DE TRANSMISSAO"
"MEIOS PROPRIOS"
"VIA DESCONHECIDA"
"POR REBOQUE"
"COURIER"
"VICINAL FRONTEIRICO"
"DUTOS"
"EM MAOS"
"ENTRADA/SAIDA FICTA"
