"Código NCM";"Descrição NCM";"Unidade estatística"
"62071900";"Cuecas e ceroulas, de outras matérias têxteis";"NUMERO (UNIDADE)"
"62072100";"Camisolões e pijamas, de uso masculino, de algodão";"NUMERO (UNIDADE)"
"68062000";"Vermiculita e argilas, expandidas, espuma de escórias e produtos minerais semelhantes, expandidos, mesmo misturados entre si";"QUILOGRAMA LIQUIDO"
"68069010";"Produtos minerais aluminosos ou silicoaluminosos";"QUILOGRAMA LIQUIDO"
"68069090";"Outras obras de matérias minerais para isolamento do calor, som,  etc.";"QUILOGRAMA LIQUIDO"
"68071000";"Obras de asfalto ou de produtos semelhantes (por exemplo, breu ou pez), em rolos";"QUILOGRAMA LIQUIDO"
"68079000";"Outras obras de asfalto ou de produtos semelhantes (por exemplo, breu ou pez)";"QUILOGRAMA LIQUIDO"
"68080000";"Painéis, chapas, ladrilhos, blocos e semelhantes, de fibras vegetais, de palha ou de aparas, partículas, serragem ou de outros desperdícios de madeira, aglomerados com cimento, gesso ou outros aglutinantes minerais";"QUILOGRAMA LIQUIDO"
"68091100";"Chapas, placas, painéis, ladrilhos e semelhantes, não ornamentados, revestidos ou reforçados exclusivamente com papel ou cartão, de gesso ou de composições à base de gesso";"QUILOGRAMA LIQUIDO"
"68091900";"Outras chapas, placas, painéis, ladrilhos e semelhantes, não ornamentados, de gesso ou de composições à base de gesso";"QUILOGRAMA LIQUIDO"
"68099000";"Outras obras de gesso ou de composições à base de gesso";"QUILOGRAMA LIQUIDO"
"68101100";"Blocos e tijolos para a construção, cimento, de concreto ou de pedra artificial, mesmo armadas";"QUILOGRAMA LIQUIDO"
"68101900";"Outras telhas, ladrilhos, semelhantes, de cimento, de concreto ou de pedra artificial, mesmo armadas";"QUILOGRAMA LIQUIDO"
"68109100";"Elementos pré-fabricados para a construção ou engenharia civil, de cimento, de concreto ou de pedra artificial, mesmo armadas";"QUILOGRAMA LIQUIDO"
"68109900";"Outras obras de cimento, de concreto ou de pedra artificial, mesmo armadas";"QUILOGRAMA LIQUIDO"
"68111000";"Chapas onduladas de fibrocimento, cimento-celulose,  etc.";"QUILOGRAMA LIQUIDO"
"68112000";"Outras chapas e semelhantes de fibrocimento, cimento-celulose";"QUILOGRAMA LIQUIDO"
"71123010";"Cinzas que contenham ouro, mas que não contenham outros metais preciosos";"QUILOGRAMA LIQUIDO"
"71123020";"Cinzas que contenham platina, mas que não contenham outros metais preciosos";"QUILOGRAMA LIQUIDO"
"71123090";"Cinzas contendo outros metais preciosos, seus compostos";"QUILOGRAMA LIQUIDO"
"71129000";"Desperdícios/resíduos de outros metais preciosos/metal folheado/chap.metal precioso";"QUILOGRAMA LIQUIDO"
"71129100";"Outros resíduos/desperdícios de ouro, de metais folheados ou chapeados (plaquê) de ouro, exceto varreduras que contenham outros metais preciosos";"QUILOGRAMA LIQUIDO"
"71129200";"Outros resíduos/desperdícios de platina, de metais folheados ou chapeados (plaquê) de platina, exceto varreduras que contenham outros metais preciosos";"QUILOGRAMA LIQUIDO"
"71129900";"Outros resíduos/desperdícios, de outros metais preciosos, etc";"QUILOGRAMA LIQUIDO"
"71131100";"Artefatos de joalharia, de prata, mesmo revestida, folheada ou chapeada de outros metais preciosos (plaquê)";"QUILOGRAMA LIQUIDO"
"85232931";"Fitas magnéticas, gravadas, para reprodução de fenômenos diferentes do som ou da imagem";"NUMERO (UNIDADE)"
"85232932";"Fitas magnéticas, gravadas, de largura não superior a 4 mm, em cartuchos ou cassetes, exceto as do subitem 8523.29.31";"NUMERO (UNIDADE)"
"85232933";"Fitas magnéticas, gravadas, de largura não superior a 4 mm, de largura superior a 6,5 mm, exceto as do subitem 8523.29.31";"NUMERO (UNIDADE)"
"85232939";"Fitas magnéticas, gravadas, de largura > 4 mm, e < 6,5 mm";"NUMERO (UNIDADE)"
"85232990";"Outros discos, fitas, suporte para gravação de som, não gravados";"NUMERO (UNIDADE)"
"85233000";"Cartões magnéticos, não gravados";"NUMERO (UNIDADE)"
"85234011";"Discos por leitura por raio laser, podendo ser gravado uma única vez";"NUMERO (UNIDADE)"
"85234019";"Outros suportes preparados para gravação de som/semelhantes";"NUMERO (UNIDADE)"
"85234021";"Disco gravado, por sistema de raio laser, para reprodução só do som";"NUMERO (UNIDADE)"
"85234022";"Discos para sistema ""laser"", para reprodução diferente de som ou imagem";"NUMERO (UNIDADE)"
"85234029";"Outros discos para sistema de leitura por raio laser";"NUMERO (UNIDADE)"
"85234110";"Discos para sistema de leitura por raios laser com possibilidade de serem gravados uma única vez";"NUMERO (UNIDADE)"
"85234190";"Outros discos para sistema de leitura por raio laser";"NUMERO (UNIDADE)"
"85234910";"Discos para leitura por laser, para reprodução apenas do som";"NUMERO (UNIDADE)"
"85367000";"Conectores para fibras ópticas, feixes ou cabos de fibras ópticas";"NUMERO (UNIDADE)"
"85369010";"Conectores para cabos planos constituídos por condutores paralelos isolados individualmente, para uma tensão não superior a 1.000 V";"NUMERO (UNIDADE)"
"85369020";"Tomadas de contato deslizante em condutores aéreos, para uma tensão não superior a 1.000 V";"NUMERO (UNIDADE)"
"85369030";"Soquetes para microestruturas eletrônicas, para uma tensão não superior a 1.000 V";"NUMERO (UNIDADE)"
"85369040";"Conectores para circuito impresso, para uma tensão não superior a 1.000 V";"NUMERO (UNIDADE)"
"85369050";"Terminais de conexão para capacitores, mesmo montados em suporte isolante, para uma tensão não superior a 1.000 V";"NUMERO (UNIDADE)"
"85369090";"Outros aparelhos para interrupção, etc, para circuitos elétricos, para uma tensão não superior a 1.000 V";"NUMERO (UNIDADE)"
"85366990";"Outras tomadas de corrente, para uma tensão não superior a 1.000 V";"NUMERO (UNIDADE)"
"86040090";"Outros veículos para inspeção e manutenção de vias férreas ou semelhantes";"NUMERO (UNIDADE)"
"86050010";"Vagões de passageiros para vias férreas ou semelhantes (excluindo as viaturas da posição 86.04)";"NUMERO (UNIDADE)"
"86050090";"Furgões para bagagem, vagões-postais e outros vagões especiais, para vias férreas ou semelhantes (excluindo as viaturas da posição 86.04).";"NUMERO (UNIDADE)"
"86061000";"Vagões-tanques e semelhantes, para transporte de mercadorias sobre vias férreas";"NUMERO (UNIDADE)"
"86062000";"Vagões isotérmicos, refrigeradores, etc, para vias férreas";"NUMERO (UNIDADE)"
"86063000";"Vagões de descarga automática, exceto os da subposição 8606.10, para transporte de mercadorias sobre vias férreas";"NUMERO (UNIDADE)"
"86069100";"Vagões cobertos e fechados, para transporte de mercadorias sobre vias férreas";"NUMERO (UNIDADE)"
"86069200";"Vagões abertos, com paredes fixas de altura superior a 60 cm, para transporte de mercadorias sobre vias férreas";"NUMERO (UNIDADE)"
"86069900";"Outros vagões para transporte de mercadorias sobre vias férreas";"NUMERO (UNIDADE)"
"86071110";"Bogies de tração de veículos para vias férreas";"QUILOGRAMA LIQUIDO"
"86071120";"Bissels de tração de veículos para vias férreas/semelhantes";"QUILOGRAMA LIQUIDO"
"86071200";"Outros bogies e bissels de veículos para vias férreas";"QUILOGRAMA LIQUIDO"
"86071910";"Mancais de veículos para vias férreas";"QUILOGRAMA LIQUIDO"
"86071911";"Mancais com rolamentos incorporados, de diâmetro exterior superior a 190 mm, do tipo dos utilizados em eixos de rodas de vagões ferroviários";"QUILOGRAMA LIQUIDO"
"86071919";"Outros mancais de veículos para vias férreas";"QUILOGRAMA LIQUIDO"
"86071990";"Eixos, rodas e suas partes de veículos para vias férreas";"QUILOGRAMA LIQUIDO"
"90069190";"Outras partes e acessórios para aparelhos fotográficos";"QUILOGRAMA LIQUIDO"
"90069900";"Outras partes e acessórios para parelhos e dispositivos para fotografia";"QUILOGRAMA LIQUIDO"
"90071000";"Câmeras";"NUMERO (UNIDADE)"
"90071100";"Câmeras cinematográfica para filmes de largura < 16 mm ou ""duplo-8 mm""";"NUMERO (UNIDADE)"
"90071900";"Outras câmeras cinematográficas";"NUMERO (UNIDADE)"
"90072010";"Projetores cinematográficos, para filmes de largura < 16 mm";"NUMERO (UNIDADE)"
"90072020";"Projetores para filmes, largura >= 35 mm, mas <= 70 mm";"NUMERO (UNIDADE)"
"90072090";"Outros projetores cinematográficos";"NUMERO (UNIDADE)"
"90072091";"Outros projetores cinematográficos para filmes 35 mm <= largura <= 70 mm";"NUMERO (UNIDADE)"
"90072099";"Outros projetores cinematográficos";"NUMERO (UNIDADE)"
"90079100";"Partes e acessórios para câmeras cinematográficas";"QUILOGRAMA LIQUIDO"
"90079200";"Partes e acessprios para projetores cinematográficos";"QUILOGRAMA LIQUIDO"
"90081000";"Projetores de diapositivos";"NUMERO (UNIDADE)"
"90082010";"Leitoras de microfilmes";"NUMERO (UNIDADE)"
"85281290";"Outros aparelhos de recepção de televisão à cores, mesmo com aparelhos de som/imagem";"NUMERO (UNIDADE)"
"85281300";"Aparelhos receptores de TV em preto e branco, mesmo com rádio, etc";"NUMERO (UNIDADE)"
"85282100";"Monitores de vídeo, a cores";"NUMERO (UNIDADE)"
"85282110";"Monitores de vídeo, em cores, com dispositivo de varredura, etc";"NUMERO (UNIDADE)"
"85282190";"Outros monitores de video, em cores";"NUMERO (UNIDADE)"
"85282200";"Monitores de vídeo, em preto e branco ou outros monocromos";"NUMERO (UNIDADE)"
"85283000";"Projetores de vídeo";"NUMERO (UNIDADE)"
"84099971";"Anéis de segmento, com diâmetro superior ou igual a 200 mm, para motores diesel/semidi";"NUMERO (UNIDADE)"
"84099979";"Outros anéis de segmento, para motores diesel/semidiesel";"NUMERO (UNIDADE)"
"84099990";"Outras partes para motores diesel ou semidiesel";"QUILOGRAMA LIQUIDO"
"84099991";"Camisas de cilindro soldadas a cabeçotes, com diâmetro superior ou igual a 200 mm";"QUILOGRAMA LIQUIDO"
"84099999";"Outras partes para motores diesel e semidiesel";"QUILOGRAMA LIQUIDO"
"84101100";"Turbinas e rodas hidráulicas, de potência não superior a 1.000 kW";"NUMERO (UNIDADE)"
"84281000";"Elevadores e monta-cargas";"NUMERO (UNIDADE)"
"84282010";"Transportadores tubulares (transvasadores) móveis, acionados com motor de potência superior a 90 kW (120 HP), pneumáticos";"NUMERO (UNIDADE)"
"84282090";"Outros aparelhos elevadores ou transportadores, pneumáticos";"NUMERO (UNIDADE)"
"84283100";"Aparelhos elevadores ou transportadores, de ação contínua, para mercadorias, especialmente concebidos para uso subterrâneo";"NUMERO (UNIDADE)"
"84283200";"Aparelhos elevadores ou transportadores, de ação contínua, para mercadorias, de caçamba";"NUMERO (UNIDADE)"
"38089126";"Inseticida à base de triclorfon ou diclorvós";"QUILOGRAMA LIQUIDO"
"38089127";"Inseticida à base de óleo mineral ou tiometon";"QUILOGRAMA LIQUIDO"
"38089128";"Inseticida à base de sulfluramida";"QUILOGRAMA LIQUIDO"
"38089129";"Outros inseticidas, apresentados de outro modo";"QUILOGRAMA LIQUIDO"
"38089193";"Inseticida à base de dicrotofós, apresentado de outro modo";"QUILOGRAMA LIQUIDO"
"38089194";"Inseticida à base de dissulfoton ou de endossulfan, apresentado de outro modo";"QUILOGRAMA LIQUIDO"
"38089195";"Inseticida à base de fosfeto de alumínio, apresentado de outro modo";"QUILOGRAMA LIQUIDO"
"38089196";"Inseticida à base de diclorvós ou de triclorfon, apresentado de outro modo";"QUILOGRAMA LIQUIDO"
"38089197";"Inseticida à base de óleo mineral ou de tiometon, apresentado de outro modo";"QUILOGRAMA LIQUIDO"
"38089198";"Inseticida à base de sulfluramida, apresentado de outro modo";"QUILOGRAMA LIQUIDO"
"39044090";"Outros copolímeros de cloreto de vinila, formas primárias";"QUILOGRAMA LIQUIDO"
"39045010";"Copolímeros de cloreto de vinilideno, sem emulsionante nem plastificante";"QUILOGRAMA LIQUIDO"
"38089191";"Inseticida à base de acefato ou de Bacillus thuringiensis, apresentado de outro modo";"QUILOGRAMA LIQUIDO"
"38089192";"Inseticida à base de cipermetrinas ou de permetrina, apresentado de outro modo";"QUILOGRAMA LIQUIDO"
"39045090";"Outros polímeros de cloreto vinilideno, formas primárias";"QUILOGRAMA LIQUIDO"
"39046110";"Politetrafluoretileno nas formas previstas na Nota 6 a) deste Capítulo";"QUILOGRAMA LIQUIDO"
"39046190";"Outros politetrafluoretilenos em formas primárias";"QUILOGRAMA LIQUIDO"
"39046910";"Copolímero de fluoreto de vinilideno e hexafluorpropileno";"QUILOGRAMA LIQUIDO"
"39046990";"Outros polímeros fluorados, em formas primárias";"QUILOGRAMA LIQUIDO"
"30049058";"Medicamento contendo etoposidio, em doses";"QUILOGRAMA LIQUIDO"
"30049059";"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049061";"Medicamento contendo terfenadina/talniflumato, etc.em doses";"QUILOGRAMA LIQUIDO"
"30049062";"Medicamento cont.nifedipina/nitrendipina, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049063";"Medicamento contendo oxifendazol/albendazol, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049064";"Medicamento contendo triazolam/alprazolam, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049065";"Medicamento contendo fenitoína/seu sal sódico, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049066";"Medicamento contendo ácido 2-(2-metil-3-cloroanilina) nicotínico, em doses";"QUILOGRAMA LIQUIDO"
"30049067";"Medicamento contendo nicarbazina/norfloxacina, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049068";"Medicamento contendo ciclosporina a, fluspirileno, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049069";"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";"QUILOGRAMA LIQUIDO"
"30049071";"Medicamento contendo levamisol/seus sais/tetramisol, em doses";"QUILOGRAMA LIQUIDO"
"30049072";"Medicamento contendo sulfadiazina/seu sal sódico, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049073";"Medicamento contendo ketazolam/sulpirida, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049074";"Medicamento contendo ftalilsulfatiazol/bumetanida, etc, em doses";"QUILOGRAMA LIQUIDO"
"30049075";"Medicamento contendo enantato de flufenazina, etc, em doses";"QUILOGRAMA LIQUIDO"
"34029029";"Outras soluções ou emulsões de produtos tensoativos, etc";"QUILOGRAMA LIQUIDO"
"34029031";"Preparações para lavagem (detergentes), à base de nonilfenol etoxilado";"QUILOGRAMA LIQUIDO"
"34029039";"Outras preparações para lavagem (detergentes)";"QUILOGRAMA LIQUIDO"
"34029090";"Outras preparações tensoativas e preparações para limpeza";"QUILOGRAMA LIQUIDO"
"34031110";"Preparações para o tratamento de matérias têxteis, que contenham óleos de petróleo ou de minerais betuminosos";"QUILOGRAMA LIQUIDO"
"34031120";"Preparações para o tratamento de couros e peles, que contenham óleos de petróleo ou de minerais betuminosos";"QUILOGRAMA LIQUIDO"
"34031190";"Preparações para o tratamento de outras matérias, que contenham óleos de petróleo ou de minerais betuminosos";"QUILOGRAMA LIQUIDO"
"34031900";"Outras preparações que contenham óleos de petróleo ou de minerais betuminosos";"QUILOGRAMA LIQUIDO"
"34039110";"Outras preparações para o tratamento de matérias têxteis";"QUILOGRAMA LIQUIDO"
"34039120";"Outras preparações para o tratamento de couros e peles";"QUILOGRAMA LIQUIDO"
"34039190";"Outras preparações para o tratamento de outras matérias";"QUILOGRAMA LIQUIDO"
"34039900";"Outras preparações lubrificantes/antiaderentes/antiferrugem, etc";"QUILOGRAMA LIQUIDO"
"34041000";"Cera de linhita modificada químicamente";"QUILOGRAMA LIQUIDO"
"34042010";"Ceras artificiais de poli(oxietileno) (polietilenoglicol)";"QUILOGRAMA LIQUIDO"
"34042020";"Ceras preparadas de poli(oxietileno) (polietilenoglicol)";"QUILOGRAMA LIQUIDO"
"32041300";"Corantes básicos e suas preparações";"QUILOGRAMA LIQUIDO"
"32041400";"Corantes diretos e suas preparações";"QUILOGRAMA LIQUIDO"
"32041510";"Corante indigo blue, segundo colour index 73000";"QUILOGRAMA LIQUIDO"
"32041520";"Corante dibenzantrona";"QUILOGRAMA LIQUIDO"
"32041530";"Corante 12,12-Dimetoxidibenzantrona";"QUILOGRAMA LIQUIDO"
"32041590";"Outros corantes a cuba e suas preparações";"QUILOGRAMA LIQUIDO"
"32041600";"Corantes reagentes e preparações à base desses corantes";"QUILOGRAMA LIQUIDO"
"32041700";"Pigmentos e preparações à base desses pigmentos";"QUILOGRAMA LIQUIDO"
"33012200";"Óleo essencial, de jasmim";"QUILOGRAMA LIQUIDO"
"33012300";"Óleo essencial, de alfazema ou lavanda";"QUILOGRAMA LIQUIDO"
"33012400";"Óleo essencial, de hortelã-pimenta (Mentha piperita)";"QUILOGRAMA LIQUIDO"
"33012510";"Óleo essencial, de menta japonesa (Mentha arvensis)";"QUILOGRAMA LIQUIDO"
"33012520";"Óleo essencial, de mentha spearmint (Mentha viridis L.)";"QUILOGRAMA LIQUIDO"
"33012590";"Óleo essencial, de outras mentas";"QUILOGRAMA LIQUIDO"
"33012600";"Óleo essencial, de vetiver";"QUILOGRAMA LIQUIDO"
"33012911";"Óleo essencial, de citronela";"QUILOGRAMA LIQUIDO"
"33012912";"Óleo essencial, de cedro";"QUILOGRAMA LIQUIDO"
"33012913";"Óleo essencial, de pau-santo (Bulnesia sarmientol)";"QUILOGRAMA LIQUIDO"
"33012914";"Óleo essencial, de lemongrass";"QUILOGRAMA LIQUIDO"
"33012915";"Óleo essencial, de pau-rosa";"QUILOGRAMA LIQUIDO"
"33012916";"Óleo essencial, de palma rosa";"QUILOGRAMA LIQUIDO"
"33012917";"Óleo essencial, de coriandro";"QUILOGRAMA LIQUIDO"
"72192200";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, não enrolados, de espessura igual ou superior a 4,75 mm, mas não superior a 10 mm";"QUILOGRAMA LIQUIDO"
"72192300";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, não enrolados, de espessura igual ou superior a 3 mm, mas inferior a 4,75 mm";"QUILOGRAMA LIQUIDO"
"54034200";"Fio de acetato de celulose, retorcido ou retorcido múltiplo";"QUILOGRAMA LIQUIDO"
"54034900";"Fio de outros filamentos artificiais, retorcidos/retorcido múltiplo";"QUILOGRAMA LIQUIDO"
"54041011";"Imitações de categute, reabsorvível, de monofilamento sintético, t >= 67 d";"QUILOGRAMA LIQUIDO"
"54041019";"Outras imitações de categute, de monofilamento sintético, t >= 67 decit";"QUILOGRAMA LIQUIDO"
"54041090";"Outros monofilamentos sintéticos t >= 67 decitex, seção transversal = 1 mm";"QUILOGRAMA LIQUIDO"
"54041100";"Monofilamentos de elastômeros, cuja largura aparente não seja superior a 5 mm";"QUILOGRAMA LIQUIDO"
"54041200";"Outros monofilamentos de polipropileno, cuja largura aparente não seja superior a 5 mm";"QUILOGRAMA LIQUIDO"
"54041911";"Imitações de categute, reabsorvíveis";"QUILOGRAMA LIQUIDO"
"54041919";"Outras imitações de categute, de monofilamentos";"QUILOGRAMA LIQUIDO"
"54041990";"Outros monofilamentos sintéticos, cuja largura aparente não seja superior a 5 mm";"QUILOGRAMA LIQUIDO"
"54049000";"Lâminas de matérias têxteis sintéticas, cuja largura aparente não seja superior a 5 mm";"QUILOGRAMA LIQUIDO"
"54050000";"Monofilamentos artificiais, de título >=67 decitex e cuja maior dimensão da seção transversal não seja superior a 1 mm; lâminas e formas semelhantes (palha artificial, por exemplo) de matérias têxteis artificiais, com largura aparente <= 5 mm";"QUILOGRAMA LIQUIDO"
"54060010";"Fios de filamentos sintéticos (exceto linhas para costurar), acondicionados para venda a retalho";"QUILOGRAMA LIQUIDO"
"54060020";"Fios de filamentos artificiais (exceto linhas para costurar), acondicionados para venda a retalho";"QUILOGRAMA LIQUIDO"
"54061000";"Fios de filamentos sintéticos, para venda a retalho";"QUILOGRAMA LIQUIDO"
"54062000";"Fios de filamentos artificiais, para venda a retalho";"QUILOGRAMA LIQUIDO"
"55169200";"Outros tecidos de fibras artificiais descontínuas, tintos";"QUILOGRAMA LIQUIDO"
"55169300";"Outros tecidos de fibras artificiais descontínuas, de fios de diversas cores";"QUILOGRAMA LIQUIDO"
"55169400";"Outros tecidos de fibras artificiais descontínuas, estampados";"QUILOGRAMA LIQUIDO"
"56011000";"Absorventes e tampões, etc, de pastas de matérias têxteis";"QUILOGRAMA LIQUIDO"
"56012110";"Pastas (ouates) de algodão";"QUILOGRAMA LIQUIDO"
"56012190";"Outros artigos de pastas (ouates) de algodão";"QUILOGRAMA LIQUIDO"
"56012211";"Pastas (ouates) de fibras de aramida";"QUILOGRAMA LIQUIDO"
"56012219";"Pastas (ouates) de outras fibras sintéticas ou artificiais";"QUILOGRAMA LIQUIDO"
"56012291";"Cilindros para filtros de cigarros, de pastas fibras sintéticas ou artificiais";"QUILOGRAMA LIQUIDO"
"72111300";"Produtos laminados planos, de ferro ou aço não ligado, largura < 600 mm,não folheados ou chapeados,nem revestidos,laminados a quente, laminados nas quatro faces ou em caixa fechada,l > 150 mm e esp. >= 4 mm,n/enrolados e n/apresentando motivos em relevo";"QUILOGRAMA LIQUIDO"
"53051100";"Cairo (fibras de coco) em bruto";"QUILOGRAMA LIQUIDO"
"55132310";"Outros tecidos de fibras descontínuas de poliéster, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4, tintos";"QUILOGRAMA LIQUIDO"
"55132390";"Outros tecidos de fibras descontínuas de poliéster, tintos";"QUILOGRAMA LIQUIDO"
"55132900";"Outros tecidos de fibra sintética < 85% com algodão, peso <= 170 g/m2, tintos";"QUILOGRAMA LIQUIDO"
"55133100";"Tecido poliéster < 85% com algodão, peso <= 170 g/m2, tafetá, diversas cores";"QUILOGRAMA LIQUIDO"
"55133200";"Tecido poliéster < 85% com algodão, peso <= 170 g/m2, sarjado, diversas cores";"QUILOGRAMA LIQUIDO"
"55133300";"Outros tecidos de poliéster < 85% com algodão, peso <= 170 g/m2, diversas cores";"QUILOGRAMA LIQUIDO"
"55133900";"Outros tecidos de fibra sintética < 85% com algodão, peso <= 170 g/m2, diversas cores";"QUILOGRAMA LIQUIDO"
"55133911";"Tecido de fios de diversas cores de fibras descontínuas de poliéster < 85%, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4, peso <= 170 g/m2";"QUILOGRAMA LIQUIDO"
"55133919";"Tecido de fios de diversas cores de fibras descontínuas de poliéster < 85%, peso <= 170 g/m2";"QUILOGRAMA LIQUIDO"
"55133990";"Outros tecidos < 85% de fibras descontínuas sintéticas combinadas com algo";"QUILOGRAMA LIQUIDO"
"55134100";"Tecido de poliéster < 85% com algodão, peso <= 170 g/m2,  tafetá, estampado";"QUILOGRAMA LIQUIDO"
"55134200";"Tecido de poliéster < 85% com algodão, peso <= 170 g/m2,  sarjado, estampado";"QUILOGRAMA LIQUIDO"
"55134300";"Outros tecidos de poliéster < 85% com algodão, peso <= 170g/m2, estampado";"QUILOGRAMA LIQUIDO"
"55134900";"Outros tecidos de fibra sintética < 85% com algodão,  peso <= 170g/m2, estampado";"QUILOGRAMA LIQUIDO"
"59049200";"Revestimento para pavimento, com outros suportes têxteis";"METRO QUADRADO"
"59050000";"Revestimentos para paredes, de matérias têxteis";"METRO QUADRADO"
"59061000";"Fitas adesivas de largura não superior a 20 cm, com borracha";"QUILOGRAMA LIQUIDO"
"59069100";"Tecidos de malha, com borracha";"QUILOGRAMA LIQUIDO"
"59069900";"Outros tecidos com borracha, exceto os da posição 59.02";"QUILOGRAMA LIQUIDO"
"59070000";"Outros tecidos impregnados, revestidos ou recobertos; telas pintadas para cenários teatrais, para fundos de estúdio ou para usos semelhantes";"QUILOGRAMA LIQUIDO"
"59080000";"Mechas de matérias têxteis, tecidas, entrançadas ou tricotadas, para candeeiros, fogareiros, isqueiros, velas e semelhantes; camisas de incandescência e tecidos tubulares tricotados para a sua fabricação, mesmo impregnados";"QUILOGRAMA LIQUIDO"
"59090000";"Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias";"QUILOGRAMA LIQUIDO"
"59100000";"Correias transportadoras ou de transmissão, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias";"QUILOGRAMA LIQUIDO"
"59111000";"Tecidos, feltros e tecidos forrados de feltro, combinados com uma ou mais camadas de borracha, couro ou de outras matérias, dos tipos utilizados na fabricação de guarnições de cardas, e produtos análogos para outros usos técnicos, etc...";"QUILOGRAMA LIQUIDO"
"38085926";"Mercadorias à base de N-etilperfluoroctano sulfonamida";"QUILOGRAMA LIQUIDO"
"97052200";"Espécies extintas ou ameaçadas de extinção, e suas partes";"QUILOGRAMA LIQUIDO"
"29314912";"Difenilfosfonato(4,4'-bis((dimetoxifosfinil)metil)difenila)";"QUILOGRAMA LIQUIDO"
"29211994";"N,N-Dimetilcetilamina";"QUILOGRAMA LIQUIDO"
"29314939";"Outros compostos organofosforados não halogenados, contendo um átomo de fósforo ligado a um grupo alquila (de 1 a 3 carbonos), sem outros átomos de carbono, não especificados em outras subposições";"QUILOGRAMA LIQUIDO"
"84254100";"Macacos elevadores fixos de veículos, para garagens (oficinas)";"NUMERO (UNIDADE)"
"84254200";"Outros macacos, hidráulicos";"NUMERO (UNIDADE)"
"84254910";"Macacos manuais";"NUMERO (UNIDADE)"
"84254990";"Outros macacos";"NUMERO (UNIDADE)"
"50072090";"Outros tecidos que contenham pelo menos 85 %, em peso, de seda ou de desperdícios de seda, exceto bourrette";"QUILOGRAMA LIQUIDO"
"50079000";"Outros tecidos de seda ou de desperdícios de seda";"QUILOGRAMA LIQUIDO"
"51011110";"Lã suja, incluindo a lã lavada a dorso, não cardada nem penteada, de tosquia, de finura superior ou igual 22,05 micrômetros (mícrons) mas inferior ou igual a 32,6 micrômetros (mícrons)";"QUILOGRAMA LIQUIDO"
"51011190";"Outras lãs de tosquia, suja, incluindo a lã lavada a dorso, não cardada nem penteada";"QUILOGRAMA LIQUIDO"
"51011900";"Outras lãs sujas, não cardadas nem penteadas";"QUILOGRAMA LIQUIDO"
"51012100";"Lã de tosquia, desengordurada, não carbonizada, não cardada, não penteada";"QUILOGRAMA LIQUIDO"
"52112020";"Tecidos de algodão que contenham menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não";"QUILOGRAMA LIQUIDO"
"52112090";"Outros tecidos de algodão que contenham menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2, branqueados";"QUILOGRAMA LIQUIDO"
"52112100";"Tecido de algodão < 85%, branqueado, fibra sintética/artificial, tafetá, peso > 200 g/m2";"QUILOGRAMA LIQUIDO"
"52112200";"Tecido de algodão < 85%, branqueado, fibra sintética/artificial, sarjado, peso > 200 g/m2";"QUILOGRAMA LIQUIDO"
"52112900";"Outros tecidos de algodão < 85%, branqueado, fibra sintética/artificial, peso > 200 g/m2";"QUILOGRAMA LIQUIDO"
"60029300";"Outros tecidos de malha de fibras sintéticas/artificiais";"QUILOGRAMA LIQUIDO"
"60029900";"Outros tecidos de malha de outras matérias têxteis";"QUILOGRAMA LIQUIDO"
"60031000";"Tecidos de malha de largura não superior a 30 cm, exceto os das posições 60.01 e 60.02, de lã ou de pelos finos";"QUILOGRAMA LIQUIDO"
"60032000";"Tecidos de malha de largura não superior a 30 cm, exceto os das posições 60.01 e 60.02, de algodão";"QUILOGRAMA LIQUIDO"
"60033000";"Tecidos de malha de largura não superior a 30 cm, exceto os das posições 60.01 e 60.02, de fibras sintéticas";"QUILOGRAMA LIQUIDO"
"60034000";"Tecidos de malha de largura não superior a 30 cm, exceto os das posições 60.01 e 60.02, de fibras artificiais";"QUILOGRAMA LIQUIDO"
